"Topic","Question ID","Current Ans Index","Suspected Ans Index","Correct Score","Best Score","Current Option Text","Suspected Option Text","Question","Explanation"
"pharmacology","543607311",2,0,0.00,0.67,"Place two implants in the anterior mandible for an overdenture.","Fabricate a new conventional mandibular complete denture.","A 70-year-old male patient presents with a chief complaint that his mandibular complete denture is unstable and frequently dislodges, making it difficult to chew. He has been edentulous for 20 years. Clinical examination reveals significant alveolar ridge resorption in the mandible. His maxillary denture is satisfactory. What is the MOST appropriate treatment option to improve the stability and retention of his mandibular denture?","For a patient with significant mandibular alveolar ridge resorption, implant-retained overdentures offer significantly superior stability, retention, and patient satisfaction compared to conventional dentures. A new conventional denture or reline would likely provide only marginal and temporary improvement due to the severe anatomical limitations. A soft reline is a temporary measure and does not address the underlying issue of poor retention."
"pharmacology","393589915",3,2,0.00,0.86,"Extract mandibular central incisor","Place a removable appliance (e.g., Hawley appliance with finger spring)","An 8-year-old female patient presents with a developing anterior crossbite involving tooth #21. Her permanent maxillary incisors are fully erupted. She has adequate space in the arch. What is the MOST appropriate initial interceptive orthodontic management?","Anterior crossbite involving a single tooth in an 8-year-old with adequate space is typically managed with early interceptive orthodontics. A removable appliance like a Hawley with a finger spring is often effective for correcting a single-tooth anterior crossbite, preventing further dental and skeletal issues. Waiting for all permanent teeth to erupt would delay treatment, and comprehensive fixed appliance therapy or extraction are usually reserved for more complex malocclusions."
"pharmacology","693568710",3,0,0.00,0.75,"Advise the patient to avoid biting the area","Prescribe a topical antifungal cream","A 42-year-old female patient presents to your dental office for a routine check-up. She reports no pain, but upon clinical examination, you notice a well-defined, non-tender, exophytic lesion on the buccal mucosa adjacent to the occlusal plane, which she reports has been present for 'a few months.' The lesion is firm and measures approximately 1 cm in diameter, with a smooth surface. What is the MOST appropriate next step in managing this lesion?","Any persistent, unexplained exophytic lesion in the oral cavity warrants further investigation. Given the description of a firm, non-tender lesion present for several months, an incisional biopsy is the most appropriate next step to establish a definitive diagnosis and rule out malignancy. Topical antifungal cream is for fungal infections, not solid lesions. Monitoring alone is generally not appropriate for unexplained lesions."
"radiology","57",1,0,0.00,1.00,"Reduced to one-quarter","Doubled","According to the inverse square law, if the distance from the X-ray source to the patient's skin surface is doubled, the intensity of the X-ray beam reaching the patient's skin will be:","The inverse square law states that the intensity of radiation is inversely proportional to the square of the distance from the source. If the distance is doubled (x2), the intensity becomes 1/(2^2) = 1/4 of the original intensity."
"radiology","118",1,0,0.00,1.00,"Inverted Y","Incisive foramen","During the interpretation of a periapical radiograph of the maxillary posterior region, a radiopaque, teardrop-shaped structure is observed overlying the roots of the maxillary premolars. What is this anatomical landmark?","The 'Inverted Y' landmark represents the intersection of the maxillary sinus floor and the nasal fossa, typically seen above the canine-premolar region. The incisive foramen is in the anterior maxilla, the maxillary sinus is a larger radiolucency often overlying molars/premolars, and the zygomatic process appears as a U-shaped or broad radiopaque band over the maxillary molars."
"radiology","146",0,2,0.00,0.67,"Malignancy (e.g., squamous cell carcinoma or osteosarcoma)","Stafne bone defect","A 55-year-old male smoker presents with a painless, irregular radiolucency in the posterior mandible with poorly defined borders and no cortical expansion. He has paresthesia of the lower lip. What is the most critical initial differential diagnosis to rule out?","Ill-defined borders, lack of cortical expansion, and associated paresthesia in an older patient are classic red flags for a malignant process involving the mandible, requiring immediate biopsy and referral. Traumatic bone cysts and Stafne defects generally present with well-defined borders and lack associated paresthesia. Ameloblastic fibromas typically occur in children and young adults."
"radiology","225",0,2,0.00,0.67,"Ameloblastoma","Stafne bone defect","A 62-year-old female smoker presents for a comprehensive evaluation. A panoramic radiograph reveals a well-corticated, multilocular radiolucency in the posterior mandibular body extending up to the ramus, causing root resorption of the adjacent molars. Which of the following is the most probable provisional diagnosis?","Ameloblastomas classically present as multilocular radiolucencies in the posterior mandible, frequently causing cortical expansion and root resorption. Radicular cysts are always associated with the apex of a non-vital tooth and are typically unilocular. Stafne bone defects are well-defined radiolucencies below the inferior alveolar canal in the posterior mandible and do not show root resorption. Cementoblastomas are radiopaque masses fused to a tooth root, not multilocular radiolucencies."
"radiology","247",1,2,0.00,0.67,"Moth-eaten radiolucency","Cotton-wool appearance","A 45-year-old male complains of dull pain in the right posterior mandible. A periapical radiograph reveals a poorly demarcated radiolucency with irregular borders at the inferior border of the mandible, showing a mixed radiopaque-radiolucent pattern. Biopsy confirms squamous cell carcinoma invading the bone. What classic radiographic term describes this appearance?","A 'moth-eaten' or permeative radiographic pattern describes multiple small, coalescing radiolucencies that indicate aggressive bone destruction, commonly seen in malignancies such as carcinomas and osteosarcomas. A sunburst pattern is classic for osteosarcoma, ground-glass for fibrous dysplasia, and cotton-wool for Paget's disease."
"radiology","268",0,2,0.00,1.00,"Ameloblastoma","Calcifying epithelial odontogenic tumor","A 55-year-old male presents with a swelling in the anterior mandible. Radiographs demonstrate a multilocular radiolucency with 'soap-bubble' appearance, causing cortical expansion and root resorption of adjacent teeth. Histopathological examination confirms a benign odontogenic tumor. What is the most likely radiographic diagnosis?","Ameloblastomas classically present as multilocular radiolucencies with soap-bubble or honeycombed appearances, frequently causing root resorption and cortical expansion in the mandible. Odontogenic keratocysts are often multilocular but tend to grow along the medullary cavity with minimal buccolingual expansion. Calcifying epithelial odontogenic tumors (Pindborg tumor) frequently contain radiopaque foci ('driven snow' appearance). Ameloblastic fibromas typically present as unilocular lesions in children and young adults."
"radiology","389",2,3,0.00,0.75,"Ameloblastoma","Calcifying epithelial odontogenic tumor","A 55-year-old male smoker presents with a painless, slowly enlarging radiolucency in the posterior mandible. Radiographically, the lesion is multilocular with scalloped margins and shows root resorption of the adjacent molars. Biopsy confirms an aggressive epithelial odontogenic tumor. Which lesion fits this clinical and radiographic profile?","Ameloblastomas classically present in the posterior mandible as multilocular radiolucencies with cortical expansion, root resorption, and scalloped margins. Residual cysts are found in edentulous areas where a previous tooth was extracted. Odontogenic keratocysts typically grow medially/anteroposteriorly with minimal cortical expansion and less frequent root resorption. Calcifying epithelial odontogenic tumors (Pindborg tumors) often contain radiopaque calcifications ('driven snow' appearance)."
"radiology","433",3,0,0.00,1.00,"It is impossible to reliably distinguish them based on radiography alone","Loss of the lamina dura","Which of the following radiographic features best distinguishes a periapical granuloma from a periapical cyst?","Periapical granulomas and periapical cysts are histologically distinct inflammatory lesions at the apex of a non-vital tooth, but they present identically on conventional radiographs as round or ovoid radiolucencies with loss of the lamina dura. Definitive differentiation requires histopathological examination, although cysts tend to be larger."
"radiology","922542448",1,2,0.00,0.67,"Referral to a periodontist","Prescribe systemic antibiotics","A 40-year-old male presents for a recall appointment. He has generalized moderate chronic periodontitis. Despite initial scaling and root planing 6 months ago, probing depths of 6-7mm persist on the buccal of #16 and #46 with bleeding on probing. Oral hygiene is adequate. What is the MOST appropriate next step in management?","Persistent deep probing depths (≥6mm) with bleeding on probing after initial periodontal therapy and adequate oral hygiene indicate refractory periodontitis, warranting specialist evaluation. Re-evaluating in 3 months without further intervention is insufficient, and systemic antibiotics are typically adjunctive to mechanical debridement, not a standalone solution for persistent localized pockets."
