"Topic","Question ID","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"dental-materials","184","A 40-year-old patient presents with a fractured porcelain veneer on tooth #11. After cleaning the exposed porcelain and tooth structure, you use a silane coupling agent. What is the specific chemical function of the silane molecule in this bonding protocol?","To act as a bifunctional molecule bonding inorganic silica to organic resin","To etch the inorganic silica matrix of the porcelain","To neutralize residual hydrofluoric acid on the ceramic surface","To increase the refractive index and mask underlying tooth discoloration","A","Silane is a bifunctional coupling agent containing groups that react with the inorganic silica in the ceramic (via silanol bonds) and with the organic resin matrix of the composite luting agent or repair resin, thereby creating a strong chemical bridge."
"dental-materials","185","A 32-year-old male presents for the replacement of an old, discolored class III composite restoration on tooth #21. During excavation, you note the preparation is entirely in enamel and extends slightly subgingivally on the interproximal. Which acid etchant concentration and application time is considered the gold standard for optimal enamel bonding?","37% phosphoric acid for 15 to 30 seconds","15% EDTA for 60 seconds","10% polyacrylic acid for 20 seconds","10% hydrofluoric acid for 60 seconds","A","37% phosphoric acid applied for 15 to 30 seconds is the gold standard for etching enamel, creating micro-irregularities necessary for resin tag penetration and micromechanical retention. Polyacrylic acid is used for glass ionomers, EDTA for smear layer removal in endodontics, and hydrofluoric acid is strictly for porcelain/glass-ceramics."
"dental-materials","186","Which of the following physical properties of a dental restorative material is defined as the maximum stress that a material can withstand before fracture in a tensile loading test?","Tensile strength","Flexural strength","Compressive strength","Elastic modulus","A","Tensile strength measures a material's resistance to pulling forces or being pulled apart until failure. Compressive strength measures resistance to crushing forces, flexural strength measures resistance to bending forces, and elastic modulus measures stiffness within the elastic range."
"dental-materials","187","A 45-year-old female patient requires a crown on tooth #46. You decide to use a lithium disilicate glass-ceramic. What is the primary surface pretreatment required immediately prior to the application of a silane coupling agent and resin cement?","Applying a 10-MDP primer","Etching with 37% phosphoric acid","Sandblasting with aluminum oxide","Etching with 4.9% to 9.5% hydrofluoric acid","D","Lithium disilicate is an acid-sensitive glass-ceramic that requires etching with hydrofluoric acid (typically 4.9% to 9.5%) for 20 seconds to selectively dissolve the glassy matrix and expose crystals for micromechanical retention. Phosphoric acid does not etch glass-ceramics effectively, and hydrofluoric acid is contraindicated for zirconia."
"dental-materials","188","A 65-year-old male with a high caries index receives a full-coverage metal-ceramic crown on tooth #36. Which luting cement would be the best choice if you want chemical adhesion to tooth structure and sustained fluoride release?","Resin-modified glass ionomer (RMGI) cement","Conventional zinc polycarboxylate cement","Zinc phosphate cement","Traditional resin cement","A","Resin-modified glass ionomer (RMGI) cements chemically bond to enamel and dentin via ionic bonds with calcium and release fluoride over time, making them excellent for patients with high caries risk. Zinc phosphate and traditional resin lack chemical adhesion and fluoride release, while zinc polycarboxylate has inferior mechanical properties compared to RMGI."
"dental-materials","189","During the packing of a high-copper spherical amalgam restoration into a Class II preparation, the dental assistant notes that the mix appears dry and crumbly, and setting is progressing too rapidly. What is the most likely cause of this manipulation error?","Undertritsuuration of the amalgam","Inadequate condensation force","Excessive mercury-to-alloy ratio","Overtritsuuration of the amalgam","D","Overtritsuuration generates excessive heat during mixing, causing the amalgam mass to set too quickly and appear dry, hot, or crumbly. Undertritsuuration results in a dull, crumbly mix due to insufficient wetting of alloy particles by mercury, but it usually exhibits a prolonged setting time."
"dental-materials","190","A 50-year-old female presents with generalized wear facets and severe bruxism. You are fabricating a full-coverage crown on tooth #16 using a high-strength monolithic zirconia material. Which property of zirconia necessitates careful occlusal adjustment and polishing if adjustments are made?","Potential for antagonist tooth wear if left unpolished","High creep rate under occlusal loading","Low flexural strength leading to immediate bulk fracture","High solubility in oral fluids","A","Monolithic zirconia is extremely hard; if surface adjustments are made and the surface is left rough, it can cause significant abrasive wear on opposing natural dentition. Zirconia has extremely low solubility, high flexural strength (900-1200 MPa), and virtually zero creep."
"dental-materials","191","Which elastomer impression material exhibits the highest dimensional change over time due to the release of a volatile reaction byproduct (alcohol)?","Addition silicone (Polyvinyl siloxane)","Polysulfide","Polyether","Condensation silicone","D","Condensation silicones undergo a condensation polymerization reaction that produces ethyl alcohol as a byproduct, which evaporates over time and causes significant dimensional shrinkage. Addition silicones produce no byproducts, polyethers undergo ring-opening polymerization with minimal shrinkage, and polysulfides produce water as a byproduct."
"dental-materials","192","A 24-year-old patient receives a direct composite restoration on tooth #11. The dentist uses a dual-cure resin composite and relies heavily on self-cure mechanisms in deeper areas. Which component is primarily responsible for initiating the self-cure (chemical-cure) polymerization reaction in these composites?","Camphoroquinone and tertiary amine","Silane coupling agent","Benzoyl peroxide and tertiary amine","Phenylpropanedione (PPD)","C","Dual-cure and self-cure resin composites rely on a chemical redox system typically composed of benzoyl peroxide (initiator) and a tertiary amine (activator). Camphoroquinone and PPD are photoinitiators activated by light, whereas the silane coupling agent promotes adhesion between the resin matrix and inorganic filler particles."
"dental-materials","193","An endodontically treated maxillary molar requires a core buildup before crown preparation. The clinician selects a dual-cure resin composite core material. Why is light-curing alone discouraged for bulk placement of core buildups in deep access cavities?","Rapid exothermic reaction causing thermal pulpal necrosis","Complete inhibition of setting due to moisture contamination","Excessive polymerization shrinkage stress causing immediate root fracture","Inadequate depth of cure leading to incomplete polymerization at the base","D","Visible light attenuates as it passes through composite material, meaning light-curing alone in deep bulk increments often fails to reach the critical depth of cure, leaving the base under-polymerized. Dual-cure formulations are specifically utilized to ensure chemical curing occurs where light cannot penetrate effectively."
"dental-materials","194","When selecting an elastomeric impression material for a full-arch implant impression using a pick-up (open-tray) technique, which material is generally preferred due to its superior dimensional stability, tear resistance, and elastic recovery?","Addition silicone (Polyvinyl siloxane)","Irreversible hydrocolloid (Alginate)","Reversible hydrocolloid","Condensation silicone","A","Addition silicone (PVS) is the gold standard for fixed prosthodontics and implant impressions due to its exceptional dimensional stability, high tear resistance, and superior elastic recovery. Alginate and hydrocolloids suffer from syneresis and imbibition, making them dimensionally unstable if poured later."
"dental-materials","195","A 32-year-old male presents for the placement of a direct restoration on tooth #46. The cavity preparation extends slightly below the cementoenamel junction onto the root surface. Which restorative material is the most appropriate choice to maximize chemical adhesion to both enamel and dentin while providing fluoride release?","Amalgam","Resin-modified glass ionomer cement","Traditional glass ionomer cement","Nanohybrid composite resin","B","Resin-modified glass ionomer cement (RMGI) provides chemical adhesion to tooth structure via a polycarboxylate hydrogel reaction, releases fluoride, and possesses improved early moisture resistance and mechanical properties compared to traditional glass ionomer, making it ideal for subgingival root margins. Traditional GCI is too soluble and weak for stress-bearing posterior areas, while composite resin and amalgam lack chemical adhesion and fluoride release."
"dental-materials","196","During the cementation of a lithium disilicate crown on tooth #21, the dental assistant asks about the purpose of etching the internal surface of the ceramic restoration. What is the primary mechanism by which hydrofluoric acid prepares the lithium disilicate surface?","It creates microscopic tags by dissolving the glass matrix.","It creates a chemical bond directly with the resin luting cement.","It alters the crystalline structure to increase the fracture toughness.","It removes all organic contaminants from the bonding surface.","A","Hydrofluoric acid selectively dissolves the glass matrix of the lithium disilicate ceramic, exposing the crystalline structure and creating microporosities (microscopic tags) for mechanical interlocking with the resin cement. It does not primarily bond chemically or alter bulk fracture toughness; silane coupling agents are subsequently used to achieve chemical coupling."
"dental-materials","197","A 45-year-old female patient exhibits severe generalized tooth wear due to bruxism. You are planning full-coverage crowns on her posterior teeth. Which of the following core build-up materials exhibits the modulus of elasticity closest to that of natural dentin, thereby reducing stress concentration at the interface?","Amalgam","Zirconia-reinforced glass ionomer","High-copper spherical amalgam","Resin-modified glass ionomer","D","Resin-modified glass ionomers and standard glass ionomer cements have a modulus of elasticity closer to that of natural dentin compared to rigid metals like amalgam or high-strength ceramics, allowing the material to flex synchronously with the tooth structure. Amalgam and cast metals are significantly stiffer, which can concentrate stresses at the tooth-restoration interface."
"dental-materials","198","When light-curing a bulk-fill composite resin in a large posterior class I preparation, what is the primary factor that limits the maximum allowable increment thickness to typically 4 to 5 mm?","The attenuation of light intensity as it penetrates deeper into the material","The exothermic reaction causing pulpal necrosis","The polymerization shrinkage stress generated at the margins","The oxygen inhibition layer preventing surface cure","A","Light attenuation is the primary limiting factor for depth of cure; as light travels through the bulk-fill composite, photons are scattered and absorbed, reducing the energy density required to adequately activate the photoinitiators. While polymerization shrinkage is a concern, modified filler technology and stress-relieving monomers are specifically incorporated to manage stress, not light depth."
"dental-materials","199","A patient returns 2 weeks after the placement of a deep amalgam restoration on tooth #36, complaining of sharp, localized pain when biting down and intermittent thermal sensitivity. Upon examination, no fracture is visible, but a gold crown on the opposing arch contacts the new amalgam directly. What is the most likely cause of this patient's symptoms?","Delayed expansion due to moisture contamination","Pulpal hyperemia from inadequate base placement","Secondary caries beneath the restoration","Galvanic shock resulting from dissimilar metals in contact","D","Galvanic shock occurs when two dissimilar metals (such as a new amalgam and an opposing gold restoration) touch in the presence of saliva acting as an electrolyte, creating an electrical current that stimulates the odontoblastic processes. Delayed expansion causes delayed pain and swelling days to months later, while thermal sensitivity is usually transient unless the pulp is irreversibly damaged."
"dental-materials","200","An elastomeric impression material is selected for a full-mouth fixed prosthodontic case. Which of the following impression materials exhibits the lowest dimensional change upon setting and the highest elastic recovery?","Condensation reaction silicone","Addition reaction silicone (Polyvinyl siloxane)","Polysulfide","Polyether","B","Addition reaction silicone (PVS) exhibits the highest dimensional stability and virtually negligible dimensional change upon setting because no byproduct is formed during polymerization, along with exceptional elastic recovery. Condensation silicones release alcohol, polysulfides release water, and polyethers, while dimensionally stable, are more hydrophilic and prone to water sorption if stored improperly."
"dental-materials","201","A 50-year-old male requires a core buildup on a severely broken-down maxillary premolar prior to crown preparation. The clinician decides to use a dual-cure resin composite core material. What is the primary advantage of utilizing a dual-cure system over a light-cure-only system in this clinical scenario?","It provides superior immediate bond strength to dentin without an adhesive.","It prevents the formation of the surface oxygen inhibition layer.","It completely eliminates polymerization shrinkage.","It ensures adequate polymerization in deep areas where light penetration is insufficient.","D","Dual-cure resin composites undergo both light-activation and a chemical (dark-cure) self-polymerization reaction, ensuring complete conversion of monomers even in deep box preparations or core buildups where curing light intensity is attenuated. They still experience shrinkage and require appropriate adhesive systems."
"dental-materials","202","When utilizing a total-etch (fourth-generation or fifth-generation) adhesive system on dentin, what is the critical clinical error that causes collapse of the exposed collagen matrix and prevents optimal resin infiltration (hybrid layer formation)?","Using a primer containing HEMA instead of ethanol","Light-curing the adhesive bond before applying the composite","Over-drying the dentin with an air syringe after acid etching","Failing to rinse the etchant for a full 60 seconds","C","Over-drying etched dentin causes the unsupported collagen fibril network to collapse into a dense, dense mat, preventing the resin monomers from penetrating adequately to form a proper hybrid layer. Dentin should be left moist ('wet bonding technique') to maintain the expanded state of the collagen matrix."
"dental-materials","203","A dental laboratory technician asks whether a base metal alloy (nickel-chromium) or a high-noble gold alloy should be used for a long-span fixed partial denture. From a materials science perspective, which property is primarily superior in base metal alloys compared to high-noble gold alloys, making them better suited for long spans?","Density and castability","Elastic modulus and yield strength","Elongation percentage","Biocompatibility and corrosion resistance","B","Base metal alloys (Ni-Cr and Co-Cr) possess a significantly higher elastic modulus (stiffness) and higher yield strength than high-noble gold alloys, which minimizes flexure under masticatory loads in long-span bridges and prevents porcelain fracture. High-noble alloys are softer, heavier, and more ductile, but more prone to flexing over long spans."
"dental-materials","204","A 60-year-old female presents with generalized gingival recession and multiple root caries lesions. The dentist chooses to restore these lesions with a conventional glass ionomer cement. What is the fundamental mechanism of adhesion of glass ionomer cement to tooth structure?","Van der Waals forces created by high surface energy wetting","Ionic bonding through the chelation of polyalkenoic acid with calcium ions in hydroxyapatite","Mechanical interlocking via resin tags into etched dentin tubules","Covalent bonding between silane coupling agents and collagen fibrils","B","Glass ionomer cements adhere chemically to tooth structure via an ionic reaction where the carboxyl groups of the polyalkenoic acid displace phosphate and calcium ions from the tooth's hydroxyapatite, forming a true chemical bond. Resin composites rely on mechanical interlocking, while silane bonds are used for silica-based ceramics."
"dental-materials","205","A 32-year-old male presents for the placement of a direct composite restoration on tooth #16 (occlusal-lingual). During the preparation, the dentin is exposed. Which of the following steps is most critical to ensure adequate bonding and prevent post-operative sensitivity when using a 4th-generation total-etch adhesive system?","Keeping the dentin moist to prevent the collapse of exposed collagen fibrils","Desiccating the dentin with a strong stream of air to remove all moisture","Etching the dentin for 60 seconds to maximize resin tag formation","Applying the primer and adhesive as separate steps after light-curing the etchant","A","Keeping the dentin moist ('wet bonding') is essential with 4th-generation systems because water acts as a support medium for the collapsed collagen network, allowing the primer to penetrate and form a proper hybrid layer. Desiccation causes collagen collapse, preventing resin infiltration and leading to sensitivity. Etching dentin for 60 seconds is excessive (15 seconds is standard) and etching primer/adhesive steps or curing etchant are incorrect procedural sequences."
"dental-materials","206","During the cementation of a lithium disilicate crown on tooth #21, the clinician uses a resin cement. Which of the following pre-treatment steps of the intaglio surface of the crown is chemically necessary to achieve a durable resin bond?","Rinsing thoroughly with water and air-drying without any chemical conditioning","Sandblasting with aluminum oxide followed by application of phosphoric acid","Etching with hydrofluoric acid followed by application of a silane coupling agent","Applying silane coupling agent directly without any acid etching","C","Lithium disilicate is an acid-sensitive glass-ceramic that requires etching with hydrofluoric acid to selectively dissolve the glass matrix and create micro-retentive pores. Following etching, a silane coupling agent is applied to chemically bond the inorganic silica phase of the ceramic to the organic matrix of the resin cement. Aluminum oxide blasting can structurally weaken the ceramic, and phosphoric acid does not etch glass-ceramics."
"dental-materials","207","A 45-year-old female patient requires a permanent crown on a heavily restored endodontically treated tooth #36. The remaining coronal tooth structure is minimal, requiring a core buildup. Which core material provides an elastic modulus closest to that of natural dentin, thereby minimizing stress concentration at the tooth-restoration interface?","Dual-cure core buildup resin","Resin-modified glass ionomer (RMGI)","High-copper spherical amalgam","Amalgam","B","Resin-modified glass ionomers (RMGI) and conventional glass ionomers have an elastic modulus closest to that of natural dentin compared to rigid resin composites or rigid metals like amalgam and cast gold. This similar modulus allows the material to flex synchronously with dentin under functional loads. Resins and amalgams have significantly different elastic moduli which can concentrate stresses at the interface."
"dental-materials","208","Which component of a visible light-cured (VLC) composite resin system is primarily responsible for absorbing blue light (wavelength approximately 470 nm) and initiating the free-radical polymerization reaction in conjunction with an amine accelerator?","Bis-GMA","Camphoroquinone","Hydroquinone","Silane","B","Camphoroquinone (CQ) is the most common photoinitiator used in dental resin composites, absorbing blue light around 460-480 nm to react with an amine reducing agent and form free radicals. Bis-GMA is the base monomer. Silane is the coupling agent used to bond filler particles to the resin matrix. Hydroquinone is added as a polymerization inhibitor to provide shelf-life stability."
"dental-materials","209","A dental assistant mixes a packet of irreversible hydrocolloid (alginate) impression material with water that is notably warmer than recommended by the manufacturer. What is the most immediate clinical consequence of this procedural error?","Decreased tear strength and increased risk of permanent deformation","Accelerated gelation reaction resulting in shortened working and setting times","Significant volumetric expansion leading to oversized gypsum casts","Extended working and setting times","B","Alginate is a chemical reaction-driven material whose setting rate is highly temperature-dependent. Using warmer water increases the kinetic energy of the reaction, causing accelerated gelation and drastically shortening both the working and setting times. This can catch the clinician off-guard, leading to incomplete seating of the tray. It does not cause expansion or extended working times."
"dental-materials","210","When pouring a gypsum cast from an addition silicone (vinyl polysiloxane) impression, the clinician notices that the resulting stone surface is chalky, soft, and poorly set. What is the most likely cause of this surface inhibition phenomenon?","Exothermic reaction of the stone overheating the impression material","Residual unreacted sulfur from latex gloves inhibiting the platinum catalyst in the VPS","Incomplete mixing of the dental stone leading to a high W:P ratio","Inadequate rinsing of the impression after disinfection","B","Addition silicone (VPS) polymerization can be inhibited by sulfur, amines, and metallic compounds found in latex gloves and certain types of rubber dam materials. This contamination causes surface inhibition where the gypsum fails to set properly, resulting in a soft, chalky cast surface. Latex contamination affects VPS, whereas condensation silicones release by-products that affect gypsum if poured too late."
"dental-materials","211","A 50-year-old male has a nickel-chromium base metal fixed partial denture cemented 3 years ago. He now presents with localized gingival inflammation and a positive patch test for nickel sensitivity. Which component of the base metal alloy is most frequently associated with allergic contact dermatitis and mucosal hypersensitivity reactions in dental patients?","Nickel","Silver","Gold","Palladium","A","Nickel is a well-known contact allergen and is the primary metal in base metal alloys responsible for type IV hypersensitivity reactions (allergic contact dermatitis and localized mucosal inflammation) in susceptible individuals. Gold, palladium, and silver are precious/noble metals with significantly lower incidences of allergic reactions."
"dental-materials","212","Which of the following direct restorative materials exhibits the unique chemical property of 'smart' behavior, specifically the ability to undergo a setting reaction via an acid-base mechanism while continuously releasing and recharging fluoride ions in the oral environment?","Zinc phosphate cement","Amalgam","Microfilled composite resin","Conventional glass ionomer cement","D","Glass ionomer cements (GICs) set via an acid-base reaction between fluoroaluminosilicate glass powder and polyacrylic acid. They are uniquely characterized by their ability to release fluoride, which helps prevent secondary caries, and their capacity to act as a fluoride 'reservoir' by recharging from toothpastes and mouthwashes. Composites and amalgams do not intrinsically undergo this acid-base setting reaction or actively recharge fluoride."
"dental-materials","213","During the manipulation of zinc phosphate cement for the permanent cementation of a cast gold crown, the assistant notes that the material is setting far too quickly, threatening to prevent complete seating of the restoration. Which technique modification is best practice to safely prolong the working time?","Adding powder to the liquid all at once to rapidly neutralize the acid","Incrementally incorporating small amounts of powder onto a heavily cooled, chilled glass slab","Adding a few drops of water to the liquid before mixing","Mixing the cement on a warm, uncooled glass slab","B","Zinc phosphate is an exothermic acid-base reaction. Cooling the glass slab (keeping it below the dew point to avoid condensation) slows down the reaction rate and allows the incorporation of more powder into the liquid without rapid heat generation, prolonging the working time. Adding powder all at once or using a warm slab accelerates the set and generates excessive heat."
"dental-materials","214","A 28-year-old female presents for the replacement of a defective amalgam restoration on tooth #46. She requests a tooth-colored restoration. During cavity preparation, the pulpal floor is exposed, exhibiting a 1 mm area of pinpoint bleeding. Hemostasis is achieved with sterile saline. Which of the following materials is the gold standard for direct pulp capping in this scenario?","Calcium hydroxide","Conventional glass ionomer cement","Resin-modified glass ionomer cement","Zinc oxide-eugenol cement","A","Calcium hydroxide is considered the gold standard for direct pulp capping due to its high alkalinity, which stimulates reparative dentin bridge formation and provides an antimicrobial effect. Zinc oxide-eugenol and resin-based materials are generally too cytotoxic when placed in direct contact with the vital pulp tissue."
"dental-materials","215","Which of the following components in visible light-cured composite resins is primarily responsible for absorbing blue light (wavelength approximately 470 nm) and initiating the free-radical polymerization reaction?","Camphoroquinone","Bis-GMA","Silane coupling agent","Triethylene glycol dimethacrylate (TEGDMA)","A","Camphoroquinone is the standard photoinitiator used in dental resin composites that absorbs blue light in the 460-480 nm range to generate free radicals. Bis-GMA and TEGDMA are monomer bases that form the resin matrix, while the silane coupling agent bonds the filler particles to the resin matrix."
"dental-materials","216","A 55-year-old male receives a full coverage porcelain-fused-to-metal (PFM) crown on tooth #36. Two weeks later, he returns complaining of severe thermal sensitivity to cold and sharp pain when biting on the restoration. Clinical examination reveals normal periodontal probing depths and negative percussion sensitivity, but the crown is high in occlusion. Which material property of the underlying metal substructure primarily ensures the structural integrity and resistance to permanent deformation under heavy masticatory loads?","High elastic modulus","Low yield strength","High ductility","High coefficient of thermal expansion","A","A high elastic modulus (stiffness) ensures that the metal substructure resists elastic deformation under load, thereby protecting the brittle porcelain veneer from cracking or failing. Low yield strength would lead to premature permanent deformation, while ductility relates to the ability to be drawn into wires, not resistance to biting forces."
"dental-materials","217","When bonding an orthodontic metal bracket to etched enamel using a light-cured composite resin, what is the primary mechanism of adhesion between the enamel and the resin?","Diffusion of resin monomers into the organic dentin matrix","Micromechanical retention into acid-etched enamel prisms","Chemical bonding via carboxylate groups","Molecular secondary Van der Waals forces","B","Adhesion to enamel is achieved primarily through micromechanical retention. Acid etching (usually with 37% phosphoric acid) dissolves enamel rods to create microscopic porosities into which low-viscosity resin flows and polymerizes, forming resin tags."
"dental-materials","218","A dentist is selecting an elastomeric impression material for a full-arch fixed partial denture impression. Which of the following impression materials exhibits the lowest dimensional change upon setting and the highest elastic recovery?","Reversible hydrocolloid (Agar)","Addition silicone (Polyvinyl siloxane)","Polysulfide","Condensation silicone","B","Addition silicones (Polyvinyl siloxanes or PVS) exhibit the lowest dimensional change upon setting because they do not produce volatile byproducts, and they possess the highest elastic recovery among elastomeric impression materials. Condensation silicones release ethyl alcohol, leading to significant shrinkage, and polysulfides release water as a byproduct."
"dental-materials","219","A 62-year-old male presents with generalized cervical wear lesions resulting from toothbrush abrasion and erosion. The dentist plans to restore these lesions using a restorative material that chemically bonds to tooth structure and releases fluoride over time. Which material best fits this description?","Zirconia ceramic","Conventional glass ionomer cement","Microfilled composite resin","Amalgam","B","Conventional glass ionomer cements (GICs) chemically bond to enamel and dentin via an ion-exchange mechanism involving polyalkenoic acid and calcium ions, and they provide sustained fluoride release. Composite resins require mechanical retention via etching/bonding and do not inherently release therapeutic levels of fluoride."
"dental-materials","220","During the laboratory fabrication of a base metal removable partial denture framework, a technician evaluates the alloy's properties. Which of the following base metal alloys is most commonly used in removable prosthodontics due to its high modulus of elasticity, strength, and corrosion resistance?","Silver-palladium alloy","Pure titanium","Cobalt-chromium alloy","Gold-platinum-palladium alloy","C","Cobalt-chromium alloys are the standard choice for removable partial denture frameworks because they are rigid, strong, lightweight, and economical compared to noble alloys. Gold alloys are too flexible and heavy for large major connectors, and pure titanium, while biocompatible, requires specialized casting equipment."
"dental-materials","221","A 40-year-old female requires a crown on tooth #15. The dentist decides to use a monolithic lithium disilicate ceramic crown. Which of the following steps is crucial for achieving a durable resin bond to the internal surface of this glass-ceramic restoration prior to cementation?","Etching with 37% phosphoric acid for 60 seconds","Sandblasting with aluminum oxide particles","Applying a zinc phosphate primer directly to the ceramic","Etching with hydrofluoric acid followed by application of a silane coupling agent","D","Lithium disilicate is an acid-sensitive glass-ceramic that requires etching with hydrofluoric acid to selectively dissolve the glass matrix and create micromechanical porosities. A silane coupling agent is then applied to chemically bond the ceramic surface to resin composite cements."
"dental-materials","222","What is the primary function of the silane coupling agent applied to ceramic repair surfaces or indirect porcelain restorations?","To etch the inorganic silica matrix","To act as a bi-functional molecule that bonds the inorganic silica to the organic resin matrix","To prevent microleakage by sealing the dentin tubules","To increase the fracture toughness of the bulk ceramic","B","Silane coupling agents are bi-functional molecules containing an organofunctional group that copolymerizes with resin composites and a silanol group that reacts with the hydroxyl groups on the silica surface of glass-ceramics. This creates a durable chemical bridge between the ceramic and the resin."
"dental-materials","223","A 50-year-old male has an acrylic resin complete denture that has fractured down the midline after being dropped on a hard surface. The dentist decides to repair it using a self-curing (autopolymerizing) acrylic resin. Which of the following is the primary chemical component of this repair liquid monomer?","Bisphenol A-glycidyl methacrylate (Bis-GMA)","Urethane dimethacrylate (UDMA)","Triethylene glycol dimethacrylate (TEGDMA)","Methyl methacrylate (MMA)","D","Methyl methacrylate (MMA) monomer is the primary liquid component used in the repair and fabrication of polymethyl methacrylate (PMMA) acrylic prostheses. Bis-GMA and TEGDMA are predominantly used in resin-based restorative composites, not standard denture base repairs."
"dental-materials","224","A 32-year-old male patient presents with moderate wear on his maxillary central incisors and requests composite restorations to improve aesthetics. During the placement of a microfilled composite, you ensure proper light-curing. Which of the following describes the primary reason microfilled composites exhibit lower fracture resistance compared to hybrid composites?","Higher coefficient of thermal expansion","Increased elastic modulus","Lower filler loading volume","Greater water sorption","C","Microfilled composites contain smaller colloidal silica particles (0.04-0.4 µm) which limits the filler loading volume (typically 35-50% by volume) compared to hybrids, leading to lower mechanical strength and fracture resistance. Higher water sorption and thermal expansion are secondary properties, while a lower (not increased) elastic modulus is typical for microfills."
"dental-materials","225","During the cementation of a lithium disilicate crown on tooth #46 for a 45-year-old female, you prepare the internal surface of the restoration. Which of the following is the standard recommended chemical surface treatment for glass-ceramic restorations prior to resin cementation?","Sodium hypochlorite rinse followed by dentin bonding agent","Phosphoric acid etching followed by unfilled resin","Hydrofluoric acid etching followed by silane coupling agent","Air-borne particle abrasion with aluminum oxide only","C","Glass-ceramics like lithium disilicate contain a silica phase that dissolves selectively when etched with hydrofluoric acid, creating micro-retentive surface irregularities. A silane coupling agent is then applied to chemically bond the inorganic ceramic surface to the organic resin matrix of the luting cement."
"dental-materials","226","A 58-year-old male patient has a severely worn mandibular arch and requires full-coverage restorations. You choose a monolithic zirconia crown for tooth #36 due to its high flexural strength. What is the primary clinical disadvantage of monolithic zirconia compared to traditional porcelain-fused-to-metal (PFM) crowns?","Extremely high solubility in oral fluids","Difficulty in achieving optimal bond strength with resin cements","Lower resistance to low-temperature degradation in the mouth","Inability to be polished if adjusted intraorally","B","Zirconia is a chemically inert, acid-resistant oxide ceramic that lacks a silica matrix, making traditional hydrofluoric acid etching and silanation ineffective for resin bonding. It requires air-abrasion with alumina and special MDP-containing primers. Its solubility is extremely low, and it can be polished effectively."
"dental-materials","227","A 25-year-old female requires a direct restoration on tooth #15 involving the mesio-occlusal-distal (MOD) surfaces, with deep margins extending subgingivally onto cementum. Which restorative material undergoes an acid-base setting reaction followed by a secondary light-cured resin polymerization reaction?","Flowable composite resin","Zinc polycarboxylate cement","Conventional glass ionomer cement","Resin-modified glass ionomer (RMGI) cement","D","Resin-modified glass ionomers (RMGIs) set via a dual mechanism: an initial acid-base reaction between polyalkenoic acid and ion-leachable glass, combined with a light-activated or chemical free-radical polymerization of methacrylate groups. Conventional GICs rely solely on the acid-base reaction, while composites rely solely on resin polymerization."
"dental-materials","228","An impression is taken using an addition reaction silicone (polyvinyl siloxane) for a crown and bridge procedure. During the setting process of this elastomeric impression material, which chemical byproduct is typically released?","No byproduct is released","Hydrogen gas","Ethyl alcohol","Water","A","Addition silicones (polyvinyl siloxanes or PVS) set via platinum-catalyzed hydrosilation between terminal vinyl groups and hydrogen siloxane groups, resulting in no reaction byproducts under normal conditions. Condensation silicones release ethyl alcohol, and polysulfides release water as byproducts."
"dental-materials","229","A dental assistant is mixing a zinc phosphate cement for the permanent cementation of a cast metal crown. To maximize the working time and incorporate the maximum amount of powder into the liquid, what specific mixing technique should be employed?","Using a plastic spatula on a paper pad at room temperature","Adding the powder in large increments all at once on a cool glass slab","Mixing rapidly in a very small, confined area of a warm glass slab","Incorporating small increments of powder into the liquid slowly over a large area of a cool glass slab","D","Zinc phosphate is an exothermic reaction. Mixing on a cool glass slab dissipates heat, and incorporating small increments of powder slowly over a large surface area neutralizes the phosphoric acid gradually, allowing maximum powder incorporation without accelerating the set prematurely."
"dental-materials","230","A 50-year-old patient presents with generalized sensitivity to cold and sweet. Upon examination, you note non-carious cervical lesions (NCCLs) on multiple teeth. You decide to place a restorative material that releases fluoride and exhibits a coefficient of thermal expansion very similar to that of natural tooth structure. Which material best fits this description?","Amalgam restoration","Conventional glass ionomer cement","Unfilled resin sealant","Microhybrid composite resin","B","Conventional glass ionomer cements (GICs) bond chemically to tooth structure, have a coefficient of thermal expansion very close to that of dentin and enamel, and continuously release fluoride, making them ideal for low-stress NCCLs. Composites have higher thermal expansion and do not intrinsically release significant therapeutic levels of fluoride."
"dental-materials","231","When selecting an alloy for a conventional metal-ceramic (PFM) fixed dental prosthesis, which of the following is a mandatory physical property required of the metal substructure?","A melting range significantly lower than the fusion temperature of the ceramic","A high modulus of elasticity allowing for maximum flexure under masticatory load","A coefficient of thermal expansion (CTE) slightly lower than or closely matched to the ceramic","Complete absence of base metals like nickel and beryllium","C","To prevent interfacial shear stresses, cracking, or delamination of the porcelain during cooling from firing temperatures, the alloy's coefficient of thermal expansion (CTE) must be slightly higher than or closely matched to (usually very slightly higher than) the porcelain. The alloy must also have a high melting range well above porcelain firing temperatures and a high elastic modulus to prevent flexing."
